tag,hash,date,message,author,path,builds
"v1.3.2","8f08f43","Wed Jun 13 23:55:23 2018 +0200","Merge branch 'master' into development","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_8f08f43.zip;aff3ct_development_linux_gcc_avx2_8f08f43.zip;aff3ct_development_windows_gcc_sse4_2_8f08f43.zip;aff3ct_development_macos_clang_sse4_2_8f08f43.zip"
"v1.3.2","8654ee9","Thu Jun 14 14:58:59 2018 +0200","Fix the terminal display when calling 'legend()' multiple times.","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_8654ee9.zip;aff3ct_development_linux_gcc_avx2_8654ee9.zip;aff3ct_development_windows_gcc_sse4_2_8654ee9.zip;aff3ct_development_macos_clang_sse4_2_8654ee9.zip"
"v1.3.2","a6e13ed","Thu Jun 14 15:19:48 2018 +0200","Fix a bug in alignment control.","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_a6e13ed.zip;aff3ct_development_linux_gcc_avx2_a6e13ed.zip;aff3ct_development_windows_gcc_sse4_2_a6e13ed.zip;aff3ct_development_macos_clang_sse4_2_a6e13ed.zip"
"v1.3.2","13badaa","Thu Jun 14 17:49:40 2018 +0200","Merge branch 'master' into development","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_13badaa.zip;aff3ct_development_linux_gcc_avx2_13badaa.zip;aff3ct_development_windows_gcc_sse4_2_13badaa.zip;aff3ct_development_macos_clang_sse4_2_13badaa.zip"
"v1.3.2","527d5b7","Fri Jun 15 18:08:44 2018 +0200","Force the 'GIT_BRANCH' value to 'development'.","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_527d5b7.zip;aff3ct_development_linux_gcc_avx2_527d5b7.zip;aff3ct_development_windows_gcc_sse4_2_527d5b7.zip;aff3ct_development_macos_clang_sse4_2_527d5b7.zip"
"v1.3.2","4c44a67","Fri Jun 15 21:32:50 2018 +0200","Up. MIPP.","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_4c44a67.zip;aff3ct_development_linux_gcc_avx2_4c44a67.zip;aff3ct_development_windows_gcc_sse4_2_4c44a67.zip;aff3ct_development_macos_clang_sse4_2_4c44a67.zip"
"v1.3.2","8d71ad2","Mon Jun 18 11:38:02 2018 +0200","Fix the Polar ASCL decoder in partial adaptive mode.","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_8d71ad2.zip;aff3ct_development_linux_gcc_avx2_8d71ad2.zip;aff3ct_development_windows_gcc_sse4_2_8d71ad2.zip;aff3ct_development_macos_clang_sse4_2_8d71ad2.zip"
"v1.3.2","d2a292d","Mon Jun 18 18:00:24 2018 +0200","Add new Polar code references to the regression tests.","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_d2a292d.zip;aff3ct_development_linux_gcc_avx2_d2a292d.zip;aff3ct_development_windows_gcc_sse4_2_d2a292d.zip;aff3ct_development_macos_clang_sse4_2_d2a292d.zip"
"v1.3.2","8155a7f","Thu Jun 21 14:56:38 2018 +0200","CI: try to fix thread.bat script inclusion (again).","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_8155a7f.zip;aff3ct_development_linux_gcc_avx2_8155a7f.zip;aff3ct_development_windows_gcc_sse4_2_8155a7f.zip;aff3ct_development_macos_clang_sse4_2_8155a7f.zip"
"v1.3.2","59f0965","Thu Jun 21 19:13:07 2018 +0200","CI: put back devenv instead of msbuild for MSVC builds.","Adrien Cassagne","https://github.com/aff3ct/resources/raw/master/aff3ct_builds/","aff3ct_development_linux_gcc_sse4_2_59f0965.zip;aff3ct_development_linux_gcc_avx2_59f0965.zip;aff3ct_development_windows_gcc_sse4_2_59f0965.zip;aff3ct_development_macos_clang_sse4_2_59f0965.zip"
